instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
50044,In This Moment,Beautiful Tragedy,5PtEpuVX03k9bOUwilL5EO,43,0.0303,0.411,240960,0.95,0,G,0.0423,-3.051,Major,0.114,179.997,4-Apr,0.423,Alternative
50045,MARINA,Soft To Be Strong,6WYgtLflerJFYdpy4WUlWB,51,0.602,0.553,227152,0.623,0,C#,0.0893,-6.546,Minor,0.0393,135.84,4-Apr,0.127,Alternative
50046,Elle Varner,Refill,5lzaDOKYowYGAqznzaBxyu,44,0.0415,0.425,240133,0.536,0,C,0.214,-4.063,Minor,0.0336,?,4-Apr,0.257,Alternative
50047,Empress Of,I Don't Even Smoke Weed,2jHDXNIbElEsxxPQ0EVspA,49,0.253,0.776,206320,0.734,3.12E-05,B,0.187,-6.795,Minor,0.0702,?,4-Apr,0.618,Alternative
50048,MGMT,James,6sVQNUvcVFTXvlk3ec0ngd,45,0.123,0.515,232173,0.898,0.38,G#,0.199,-6.682,Major,0.0291,113.983,4-Apr,0.778,Alternative
50049,DaniLeigh,No Limits,0uppYCG86ajpV2hSR3dJJ0,54,0.451,0.858,100347,0.458,4.32E-06,F#,0.108,-8.492,Minor,0.121,133.965,4-Apr,0.242,Alternative
50050,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",184HGdGIscUiPbDuqbvHuN,66,0.0673,0.694,200801,0.665,0.000187,D,0.117,-7.626,Major,0.266,115.068,4-Apr,0.378,Alternative
50051,empty_field,Cool People,2lvnBAJeR0YOpOWo10XwMv,48,0.751,0.307,-1,0.632,5.24E-06,A,0.0899,-7.115,Major,0.185,169.579,4-Apr,0.193,Alternative
50052,Incubus,Summer Romance (Anti-Gravity Love Song),2MNhmxE8z4viJDAYDaMmn6,49,0.00915,0.667,265733,0.721,0.0137,G,0.105,-7.17,Major,0.0329,110.094,4-Apr,0.567,Alternative
50053,Smino,SUMMER SALT (with Bari),3KLlLHrAQsDUryZc3fMx7P,47,0.278,0.62,-1,0.643,0,F#,0.156,-6.597,Minor,0.301,155.894,4-Apr,0.15,Alternative
50054,Sturgill Simpson,The Promise,0rn9bh7wNDuoUg8HbddtXE,48,0.406,0.605,257427,0.244,0.00234,B,0.0912,-10.984,Major,0.0256,79.091,4-Apr,0.242,Alternative
50055,Two Another,Waiting on You,73tKLtEgc9F3DvN1MwvAKk,49,0.286,0.796,216721,0.463,0.137,B,0.103,-9.842,Minor,0.0536,94.02,4-Apr,0.456,Alternative
50056,empty_field,No Plan B,7jon8ItjfPNUkn9cWtkhnT,45,0.00318,0.522,203147,0.971,8.69E-06,G,0.344,-3.079,Major,0.0983,128.051,4-Apr,0.533,Alternative
50057,Mos Def,UMI Says,3AJjiJDhWIk80j0XrmHWjJ,52,0.305,0.72,-1,0.67,0,D,0.0928,-10.224,Major,0.132,121.342,4-Apr,0.566,Alternative
50058,empty_field,Stolen Moments,08fhbfRSg7eEH0IZT7pB6a,52,0.829,0.434,137638,0.211,0,A#,0.104,-9.371,Major,0.0506,170.597,4-Apr,0.202,Alternative
50059,grandson,Is This What You Wanted,7FjZU7XFs7P9jHI9Z0yRhK,52,0.00309,0.493,222861,0.742,0.000286,C#,0.185,-7.452,Major,0.0823,94.024,4-Apr,0.182,Alternative
50060,Danger Doom,Space Hos,3HOL9Jrb1cmUjHYZiPLzmn,41,0.239,0.733,209480,0.82,0,C#,0.335,-7.288,Major,0.24,?,4-Apr,0.625,Alternative
50061,Nine Inch Nails,The Wretched,0HD7JSGjd2ETHntccknFPb,43,0.00849,0.626,-1,0.741,0.203,C,0.102,-7.316,Major,0.0396,140.007,4-Apr,0.53,Alternative
50062,Tora,Wouldn't Be the Same,7C9rlPym4cCUPKQ1ITc76Z,48,0.805,0.642,222131,0.359,0.000995,F,0.118,-11.002,Minor,0.12,?,4-Apr,0.428,Alternative
50063,GoldLink,Meditation,6INaSJ4clfZ8pvXSGZQnJ7,54,0.0303,0.849,-1,0.703,0,E,0.0831,-7.069,Minor,0.193,115.052,4-Apr,0.405,Alternative
50064,empty_field,GET UP,34WetPjDiys9fnQj9ABAOx,62,0.0174,0.552,245787,0.935,1.98E-06,C,0.116,-4.096,Major,0.0623,74.954,4-Apr,0.38,Alternative
50065,Korn,Word Up!,6Y6f7LSvHxUA61ItYiSMKE,59,2.42E-05,0.577,172667,0.94,0.0715,F#,0.347,-4.439,Minor,0.0361,116.045,4-Apr,0.818,Alternative
50066,Vicente Garcia,Dulcito e Coco,5UidHzMGdz1x8VrXzfUJAv,57,0.83,0.788,-1,0.434,3.62E-06,F,0.0999,-7.815,Minor,0.0302,93.003,4-Apr,0.585,Alternative
50067,Marilyn Manson,Antichrist Superstar,0tP7W6M6JHtnhX92Mk9RAS,46,0.000776,0.375,-1,0.816,0.00399,D,0.133,-9.709,Major,0.0883,171.973,4-Apr,0.333,Alternative
50068,empty_field,The Little Things Give You Away,3Gamc2D6VSlXpUcmhPUFYt,49,0.036,0.562,383507,0.479,0.000126,G,0.0562,-7.233,Major,0.0278,140.051,3-Apr,0.113,Alternative
50069,Foo Fighters,Come Back,5gVS6nLLXzp7H30vyfXRD6,47,0.00109,0.501,467627,0.859,0.0837,C#,0.0646,-5.799,Minor,0.0464,89.03,4-Apr,0.223,Alternative
50070,Disturbed,Haunted,3WoSJF85H0qywD4qLp4HDd,45,0.0016,0.587,-1,0.978,0.00701,F#,0.182,-4.16,Major,0.0759,116.97,4-Apr,0.35,Alternative
50071,Halestorm,Sick Individual,0bTrxSIhhUAydZinOWdbes,43,0.00651,0.576,207667,0.959,2.25E-05,E,0.324,-2.397,Minor,0.0855,95.047,4-Apr,0.573,Alternative
50072,Rise Against,Tragedy + Time,41ckAKncQVaC80sXBsnSJk,51,0.0007,0.264,257000,0.97,2.89E-05,C,0.131,-3.428,Minor,0.116,175.672,4-Apr,0.533,Alternative
50073,Elijah Blake,I Just Wanna...,4HPrUgoKToMGkq5vxVx2zG,51,0.00281,0.749,248253,0.656,8.44E-06,C#,0.484,-6.727,Major,0.0547,130.063,4-Apr,0.515,Alternative
50074,Myles Cameron,Yellow,7D6ZhqNtHsveqD6dWPsrNz,40,0.764,0.528,-1,0.387,0.345,G,0.153,-10.696,Major,0.0368,147.926,4-Apr,0.129,Alternative
50075,Shinedown,For My Sake,0VFXFyPMq3FwEa1Xg4jqnq,45,0.000528,0.414,227213,0.959,0,D,0.252,-3.245,Minor,0.0868,166.006,4-Apr,0.586,Alternative
50076,empty_field,The Package,6xrREPyyC5KESDhWfwqHiN,49,0.00358,0.765,460493,0.397,0.715,A,0.117,-10.538,Major,0.0359,123.89,4-Apr,0.15,Alternative
50077,John Prine,In Spite of Ourselves (feat. Iris DeMent),1VRjHqcE8ttKtaj8bTaJyS,57,0.67,0.547,213600,0.277,0,C,0.091,-11.327,Major,0.0429,153.974,4-Apr,0.684,Alternative
50078,Earl Sweatshirt,Pre,4YvzltIBqtA7CobNtRFIsA,46,0.149,0.668,-1,0.577,0.00111,A,0.182,-6.984,Major,0.0634,99.957,4-Apr,0.557,Alternative
50079,Killswitch Engage,A Bid Farewell,0tp2cUnCAcsR6xL5kw9HKu,44,2.20E-05,0.26,237560,0.985,0.00993,D,0.07,-3.741,Minor,0.146,119.944,3-Apr,0.299,Alternative
50080,empty_field,Forever (feat. Joseph Chilliams & Ravyn Lenae),0ylA6Q6qDtLXgosYme9YAo,46,0.571,0.672,-1,0.655,0,F#,0.188,-9.768,Minor,0.469,113.74,5-Apr,0.906,Alternative
50081,empty_field,Deep Red,0xmtSOofR05Lu0ggb5lZ7X,43,0.000113,0.441,325493,0.819,0.0633,B,0.275,-7.245,Minor,0.0444,128.676,4-Apr,0.154,Alternative
50082,empty_field,HEAVEN ALL AROUND ME,3GDEflFwElAmzXNHsDTiFi,51,0.346,0.678,212840,0.393,0,G,0.0897,-11.062,Major,0.0738,119.997,4-Apr,0.0975,Alternative
50083,Killswitch Engage,Always,0Ed7MeXx64f6OcIuoTRCg1,46,0.000456,0.535,-1,0.936,0.00359,G,0.356,-5.372,Minor,0.0377,115.005,4-Apr,0.316,Alternative
50084,Ratatat,Loud Pipes,3zobfMEipF81bJfPVp1h09,55,0.109,0.718,226533,0.703,0.822,G,0.208,-7.162,Minor,0.0382,87.975,4-Apr,0.858,Alternative
50085,empty_field,Once,1B53Y95tPd4ah4FExO0egE,55,0.00321,0.622,198988,0.869,0.000633,A,0.13,-6.303,Major,0.042,110.03,4-Apr,0.556,Alternative
50086,Chevelle,Joyride (Omen),6mbWdNBDGL4joR1EHRUZg1,44,1.17E-05,0.45,217507,0.937,0.714,C,0.102,-4.471,Minor,0.0786,91.011,4-Apr,0.27,Alternative
50087,Moods,Bucket List,0lsbbaa7nj7LtUXVdk0BQe,55,0.389,0.702,133375,0.186,0.625,B,0.0972,-13.187,Major,0.0567,90.032,4-Apr,0.1,Alternative
50088,The 1975,I Like America & America Likes Me,7Bbz8Dbk5ZJcsEC2tiGnIO,60,0.0392,0.439,-1,0.683,0,D#,0.109,-6.217,Major,0.0418,137.901,4-Apr,0.0725,Alternative
50089,Default,Deny,6LUfuyLgvgqrykiTE6sJHY,46,0.0156,0.569,235800,0.815,4.98E-06,G,0.161,-4.285,Major,0.0306,?,4-Apr,0.329,Alternative
50090,empty_field,Can't Wait,7zqQS8aeSDxybHC5CjjFSq,42,0.095,0.774,193267,0.4,0.722,G,0.113,-11.863,Major,0.0362,99.998,4-Apr,0.0632,Alternative
50091,Kilo Kish,Taking Responsibility,23Eaxhs69tPWYhUiF0lYuQ,44,0.0908,0.559,210893,0.648,0.000313,C#,0.221,-7.393,Minor,0.129,?,4-Apr,0.351,Alternative
50092,empty_field,I Hate Everything About You,31hqP5oGX2M2z4ayh97jHl,70,0.00461,0.498,231480,0.83,0,F#,0.139,-5.157,Minor,0.0421,?,4-Apr,0.453,Alternative
50093,Ruen Brothers,Summer Sun,05daDDFUanFX2zvwQ5PrKQ,42,0.286,0.484,201000,0.868,1.02E-05,G,0.217,-2.619,Minor,0.0362,122.447,4-Apr,0.471,Alternative
50094,Electric Guest,Dear To Me,3FdsBa4h5VcDDKuEiEoMzL,56,0.0508,0.73,241480,0.573,0.0472,C#,0.062,-7.009,Major,0.0375,117.692,4-Apr,0.6,Alternative
50095,All That Remains,Fuck Love,5e3YOg6fIkP0wD5TyxcHOH,46,0.000191,0.508,178213,0.951,0.0221,C#,0.917,-4.372,Major,0.0816,96.022,4-Apr,0.133,Alternative
50096,Hollyn,Love With Your Life,6ry5if9UHocdZ4utUX3N3p,48,0.0115,0.764,210920,0.696,0.000164,A#,0.0883,-4.881,Minor,0.0678,117.968,4-Apr,0.91,Alternative
50097,A Perfect Circle,Eat The Elephant,1vBxzMZGCneeEemHVMw6Q3,48,0.437,0.415,313640,0.527,0.0726,C,0.106,-8.8,Major,0.0332,200.008,4-Apr,0.33,Alternative
50098,Fivefold,Lost Within,20s34XSPIiYMGSFDRSs24t,47,0.176,0.47,229093,0.857,0,F#,0.108,-5.776,Minor,0.0609,149.94,4-Apr,0.219,Alternative
50099,GoldLink,I Can Feel It,12ZIdN3zkmtdYsIwXHRNGg,46,0.471,0.521,153773,0.85,0,B,0.121,-3.607,Minor,0.281,92.062,4-Apr,0.378,Alternative
50100,empty_field,Halo,61nYUQyTKEGqy8Rqwlbxrb,42,0.000104,0.377,225798,0.963,0,C#,0.376,-3.369,Minor,0.0785,151.925,4-Apr,0.325,Alternative
50101,Bobaflex,I'm Glad You're Dead,2awExtNBABpwOFC78XViJd,45,0.000819,0.581,177145,0.917,0,G#,0.566,-3.321,Major,0.0467,?,4-Apr,0.666,Alternative
50102,empty_field,Bet (feat. Skepta & Michael Phantom),3qBC8P6rFepLe3eUQNIT3U,68,0.00128,0.855,-1,0.594,3.43E-05,G#,0.145,-8.652,Minor,0.489,78.079,4-Apr,0.834,Alternative
50103,Sidewalk Prophets,Live Like That,6gcNSi6b9gvDBjYO059lrF,48,0.053,0.479,237199,0.893,0,D#,0.0791,-4.134,Major,0.0476,?,4-Apr,0.398,Alternative
50104,Spoon,Do You,0jfqdVhGHia67JugFnQ2A1,48,0.0756,0.674,-1,0.936,0.000748,E,0.192,-2.166,Major,0.0271,128.083,4-Apr,0.948,Alternative
50105,Oliver Tree,All I Got,1jQUjKDjWsVPIYyLANEThG,61,0.12,0.667,218704,0.509,1.91E-06,C#,0.269,-6.584,Major,0.0348,104.993,4-Apr,0.289,Alternative
50106,empty_field,Diazepam,6V3tMSZB9Zlm0Yt5mYchMz,46,0.459,0.639,199038,0.684,0.000593,G,0.0815,-7.804,Major,0.0272,110.006,4-Apr,0.288,Alternative
50107,Default,It Only Hurts,7ndgQ4LPJwaF4o6QHLaq9i,54,0.000593,0.522,-1,0.777,0.258,F,0.286,-4.047,Major,0.0274,97.903,4-Apr,0.502,Alternative
50108,bLAck pARty,Best View,6jGB8Elznkw3445mTX9EWz,47,0.152,0.729,219214,0.496,0.0531,C,0.115,-10.196,Major,0.0733,81.052,4-Apr,0.559,Alternative
50109,empty_field,Tell Me - Acoustic,0W057H3l0zNNVTGLyxqOJd,53,0.72,0.632,200864,0.293,5.63E-06,C,0.326,-12.507,Minor,0.0284,103.869,4-Apr,0.586,Alternative
50110,Three Days Grace,Misery Loves My Company,1UE2mIj6uy9Tip2cvQx5xu,52,0.00139,0.516,162293,0.872,0,G#,0.258,-5.102,Major,0.0402,99.936,4-Apr,0.556,Alternative
50111,dvsn,Morning After,2x0WlnmfG39ZuDmstl9xfX,54,0.00959,0.668,269973,0.504,5.91E-06,E,0.0992,-9.193,Minor,0.0382,119.99,4-Apr,0.154,Alternative
50112,AZ,Rather Unique,0xIi7KsnuvYbgOpsyUiW9B,50,0.134,0.793,289600,0.668,0.000364,F#,0.113,-8.364,Major,0.323,86.931,4-Apr,0.628,Alternative
50113,Red,Darkest Part,7De74yOpgROabRjvNeNL6T,47,0.000573,0.325,242867,0.91,0.106,F,0.064,-4.878,Minor,0.169,132.094,4-Apr,0.142,Alternative
50114,Skillet,It's Not Me It's You,4B0tKXJguUl5YqW5wDcjNe,47,0.00466,0.431,204787,0.908,0,B,0.0693,-3.732,Minor,0.0388,172.164,4-Apr,0.317,Alternative
50115,empty_field,Here Is Gone,2TXMsGsDbTBPTqwCoKzMl7,49,0.000502,0.351,238333,0.74,0.00144,C#,0.107,-3.432,Major,0.0318,102.124,4-Apr,0.218,Alternative
50116,empty_field,The Man Who Sold The World,6gaPaInN6EIpJmtty7LNzJ,70,0.406,0.485,260947,0.738,8.77E-05,C#,0.514,-8.884,Minor,0.101,114.713,4-Apr,0.484,Alternative
50117,empty_field,Free,69aKH3pr9ovKI1Xs0sJCwU,62,0.00292,0.755,-1,0.535,4.99E-06,D,0.104,-5.088,Major,0.0476,123.961,4-Apr,0.38,Alternative
50118,The Black Keys,10 A.M. Automatic,2hjGuRIEfEGzQ5MEWLowiU,48,0.597,0.497,-1,0.944,0.119,C,0.0376,-3.31,Major,0.103,?,4-Apr,0.511,Alternative
50119,Rage Against The Machine,Bullet In The Head,5lOK3NCvbvgK6cohyTTQ4Z,54,0.00673,0.431,306680,0.855,0.00114,A,0.639,-4.205,Major,0.15,?,4-Apr,0.397,Alternative
50120,León Larregui,Como Tú (Magic Music Box),33QRsLBBdWDYgCZfWEZqR6,59,0.000292,0.568,232120,0.903,0.724,C,0.0764,-7.647,Major,0.0982,122.604,4-Apr,0.762,Alternative
50121,Sevendust,Waffle,2xzHM5HxH8V7f4tIK79h0L,46,0.00058,0.479,210627,0.835,0.000101,D#,0.0924,-5.988,Major,0.1,191.615,4-Apr,0.694,Alternative
50122,empty_field,God With Us,5bD5ECLmanzYZ4YXMi8BQj,42,0.0706,0.233,352933,0.529,1.61E-06,B,0.201,-5.69,Major,0.0341,?,4-Apr,0.0766,Alternative
50123,One Day As A Lion,Wild International,0zH5uutE4lvOMotRtTtqPd,43,0.00964,0.408,227760,0.895,0,C#,0.51,-6.027,Major,0.196,171.695,4-Apr,0.531,Alternative
50124,The Offspring,Come Out and Play,6cKlNgYeJXz94KNfV5t6YB,49,0.0943,0.514,197800,0.884,1.52E-06,G,0.0654,-3.765,Major,0.151,158.262,4-Apr,0.898,Alternative
50125,empty_field,Hail The Apocalypse,4yORBk6ZyYsJpnJchyZevc,46,7.44E-05,0.424,253680,0.991,0.00647,F#,0.223,-4.169,Major,0.0673,93.122,4-Apr,0.295,Alternative
50126,SiR,Summer in November,7xAdO0zdl7lGf0ecg4IGhQ,47,0.354,0.54,229880,0.588,2.64E-06,D,0.118,-7.719,Minor,0.0899,82.831,4-Apr,0.478,Alternative
50127,The Neighbourhood,Dust,1jJr041pf1dPeNhvI8rbF5,49,0.0971,0.348,208827,0.442,5.31E-05,C#,0.112,-7.676,Minor,0.0637,198.227,4-Apr,0.0674,Alternative
50128,Brent Faiyaz,Make Luv,5wWxUdgn2OugIOvLJOdreH,60,0.429,0.653,193309,0.414,5.13E-05,G#,0.114,-9.079,Minor,0.243,143.828,4-Apr,0.261,Alternative
50129,Collective Soul,Heavy,79dQwpXjJ4t3pILysdqFyB,50,0.000919,0.535,177213,0.854,0.00149,C#,0.0676,-6.519,Major,0.0368,106.929,4-Apr,0.618,Alternative
50130,empty_field,Speaking Of,5nnL1gVSxHMzu8FmO4yr6E,48,0.479,0.458,-1,0.502,0,C#,0.102,-7.483,Major,0.361,174.098,3-Apr,0.612,Alternative
50131,MARINA,Emotional Machine,69WMdZSqdQwFgLVpbMsZ2J,53,0.222,0.687,195541,0.833,0,E,0.141,-6.828,Minor,0.0627,114.999,4-Apr,0.28,Alternative
50132,Grouplove,Ways to Go,5bbZ8wXbzloXz3Uk2uxp23,62,0.00338,0.577,215520,0.827,0.000647,G,0.26,-7.54,Major,0.0365,?,4-Apr,0.179,Alternative
50133,Two Door Cinema Club,Nice to See You,4AMFGr24Jv2idNWf5oHIDO,48,0.0338,0.702,373309,0.723,0.00176,C#,0.0923,-6.023,Major,0.0393,110.016,4-Apr,0.846,Alternative
50134,empty_field,Everything Comes Alive,15kLz0zNFdtsaJdXKSGmTU,43,0.182,0.683,-1,0.828,0,G#,0.101,-5.479,Major,0.0471,97.006,4-Apr,0.539,Alternative
50135,empty_field,Hard To See,3D08w63qW5ZNbYDbXAhXlx,50,4.62E-06,0.513,209493,0.976,0.00034,B,0.117,-3.117,Major,0.17,111.992,4-Apr,0.133,Alternative
50136,Blind Melon,Change - 2002 Digital Remaster,5RpInYSs8GCVCSsIgRvqkW,47,0.602,0.466,222240,0.549,1.67E-05,D,0.213,-7.54,Major,0.0344,79.437,4-Apr,0.547,Alternative
50137,Aaron Lewis,That Ain’t Country,4Aj1eHsMtEmjpJUWdUWiVa,52,0.0217,0.728,242573,0.829,0,F#,0.283,-4.098,Major,0.0262,126.044,4-Apr,0.866,Alternative
50138,Hoobastank,The Reason,5au12U47BOkJ7v7e8oKbSL,71,0.0105,0.474,232800,0.672,0,E,0.142,-4.678,Major,0.028,83.029,4-Apr,0.0649,Alternative
50139,Volbeat,The Gates Of Babylon,3IgHhgIqr7ABCVezbJuthg,41,7.68E-05,0.496,274301,0.918,0.000124,F,0.121,-3.473,Major,0.0573,116.039,4-Apr,0.338,Alternative
50140,empty_field,Body Language - Intro,6soFQo67vXsBPU5hRVnYLt,50,0.639,0.387,136343,0.706,0.00404,A,0.285,-8.74,Major,0.128,115.956,4-Apr,0.588,Alternative
50141,Good Charlotte,Hold On,0hLkWUECYBHJrzWzdwBiFN,45,0.000884,0.424,245600,0.937,0,C#,0.113,-5.354,Major,0.0769,137.861,4-Apr,0.156,Alternative
50142,Casting Crowns,Thrive,38sMUtPWu8TlKnRGHshULS,50,0.104,0.641,305333,0.633,0,F#,0.262,-7.295,Major,0.0271,114.993,4-Apr,0.279,Alternative
50143,Tigers Jaw,Gypsy,0Tw0ySrNVkuLpLQ3v5GEMp,45,0.0536,0.61,-1,0.7,0.00243,F,0.14,-7.988,Major,0.0286,135.021,4-Apr,0.643,Alternative
50144,empty_field,Burning Man (with Post Malone),3tKpu4LI70iBUOQV9YhDEl,44,0.0114,0.57,197507,0.883,1.53E-06,D,0.0553,-2.775,Major,0.0582,158.082,4-Apr,0.487,Alternative
50145,Slipknot,'Til We Die,6M2B5GBFjzlcCpu53lTadi,50,0.137,0.482,345693,0.751,0,E,0.162,-4.993,Major,0.0467,148.048,3-Apr,0.521,Alternative
50146,Red,The Evening Hate,75IFaNmrO35XQzofuqhdtZ,51,0.000117,0.334,287500,0.669,0.0149,G#,0.109,-5.199,Major,0.0452,99.906,4-Apr,0.118,Alternative
